Close,Qty,EPS
432.0,8613.0,24.79
435.0,10695.0,24.79
435.0,16549.0,24.79
439.0,10404.0,24.79
440.0,16755.0,24.79
449.0,29956.0,24.79
424.0,7412.0,24.79
432.0,7603.0,24.79
436.0,21202.0,24.79
432.0,11678.0,24.79
450.0,15335.0,24.79
477.0,11946.0,24.79
471.0,29039.0,24.79
460.0,11655.0,24.79
491.0,9033.0,24.79
490.0,22972.0,24.79
485.0,28912.0,24.79
484.0,10529.0,24.79
480.0,13087.0,24.79
482.0,7953.0,24.79
515.0,25801.0,24.79
508.0,37185.0,24.79
504.0,21185.0,24.79
482.0,7761.0,1.78
469.0,15342.0,1.78
502.0,23524.0,1.78
495.0,25355.0,1.78
509.0,28303.0,1.78
495.0,13024.0,1.78
492.0,18904.0,1.78
489.0,10384.0,1.78
483.0,6941.0,1.78
470.0,32564.0,1.78
470.0,7684.0,1.78
475.0,12835.0,1.78
471.0,13536.0,1.78
463.0,11320.0,1.78
465.0,4816.0,1.78
466.0,12151.0,1.78
470.0,12123.0,1.78
472.0,8925.0,1.78
465.0,8482.0,1.78
464.0,10087.0,1.78
465.0,12050.0,1.78
460.0,13712.0,1.78
453.0,9814.0,1.78
462.0,6832.0,1.78
461.0,7177.0,1.78
455.0,7627.0,1.78
451.0,13491.0,1.78
455.0,12546.0,1.78
450.0,6680.0,1.78
447.0,17317.0,1.78
455.0,14454.0,1.78
465.0,14634.0,1.78
453.0,16302.0,1.78
450.0,11279.0,1.78
438.0,20165.0,1.78
435.0,6720.0,1.78
440.0,7458.0,1.78
440.0,7361.0,1.78
445.0,13314.0,1.78
438.0,7346.0,1.78
436.0,2687.0,1.78
436.0,8393.0,1.78
431.0,6474.0,1.78
432.0,6999.0,1.78
439.0,10108.0,1.78
442.0,11037.0,1.78
436.0,11771.0,1.78
427.0,10121.0,1.78
430.0,7507.0,1.78
431.0,9683.0,1.78
435.0,7725.0,1.78
441.0,7012.0,1.78
445.0,15841.0,1.78
445.0,6158.0,1.78
446.0,4786.0,1.78
450.0,8340.0,1.78
